tool,tool_type,runtime,ps_grep_pattern,default_port,config_root_macos,config_root_linux,config_root_windows,outbound_targets,is_daemon,memory_idle_mb,memory_active_mb,secrets_files,known_zombie_risk,project_instructions_file,instructions_sent_to_llm,mcp_config_path
claude-desktop,ide-app,electron,Claude$|Claude.exe,none,~/Library/Application Support/Claude/,~/.config/Claude/,%APPDATA%\Claude\,api.anthropic.com,no,400,800,claude_desktop_config.json (MCP env blocks),medium,n/a,n/a,~/Library/Application Support/Claude/claude_desktop_config.json
claude-code,cli-agent,node,^claude$|claude -p|claude --print,none,~/.claude/,~/.claude/,%USERPROFILE%\.claude\,api.anthropic.com,no,150,400,~/.claude/.credentials.json;~/.claude/ide/<lockfile>;.mcp.json (env blocks),high,CLAUDE.md,yes (every call),~/.claude.json;.mcp.json
codex-cli,cli-agent,node,^codex$|codex.exe,none,~/.codex/,~/.codex/,%USERPROFILE%\.codex\,api.openai.com,no,100,300,~/.openai/.env,low,AGENTS.md,yes (every call),~/.codex/config.json
chatgpt-desktop,desktop-app,electron,ChatGPT$|ChatGPT.exe,none,~/Library/Application Support/ChatGPT/,n/a,%APPDATA%\ChatGPT\,api.openai.com;chatgpt.com,no,300,600,none (thin client),none,n/a,n/a,n/a
gemini-cli,cli-agent,node,^gemini$,none,~/.gemini/,~/.gemini/,%USERPROFILE%\.gemini\,generativelanguage.googleapis.com,no,80,200,GOOGLE_APPLICATION_CREDENTIALS;OAuth token cache,low,GEMINI.md,yes (every call),~/.gemini/settings.json
copilot-vscode,ide-extension,node,copilot-agent|copilot-lsp|copilot-language-server,none,~/.vscode/extensions/github.copilot*/,same as macos,%USERPROFILE%\.vscode\extensions\github.copilot*\,api.github.com;copilot-proxy.githubusercontent.com,no,30,100,~/.config/gh/hosts.yml,none,.github/copilot-instructions.md,yes (every call),.vscode/mcp.json
copilot-cli,cli-agent,node,^copilot$|copilot.exe,none,~/.copilot/,~/.copilot/,%USERPROFILE%\.copilot\,api.github.com,no,100,300,~/.config/gh/hosts.yml,medium,AGENTS.md,yes (every call),~/.copilot/mcp-config.json
cursor,ide-app,electron,Cursor$|Cursor.exe,random-localhost,~/Library/Application Support/Cursor/,~/.config/Cursor/,%APPDATA%\Cursor\,cursor-api-endpoints,no,800,2000,state.vscdb;.cursor/mcp.json (env blocks),medium,.cursorrules;.cursor/rules/*.md,yes (every call),.cursor/mcp.json
windsurf,ide-app,electron,Windsurf$|Windsurf.exe,random-localhost,~/.codeium/windsurf/,~/.codeium/windsurf/,%USERPROFILE%\.codeium\windsurf\,codeium-cloud,no,300,600,~/.codeium/windsurf/mcp_config.json (env blocks),medium,.windsurfrules;.windsurf/rules/*.md,yes (every call),~/.codeium/windsurf/mcp_config.json;.windsurf/mcp.json
continue,ide-extension,node,(runs in extension host),none,~/.continue/,~/.continue/,%USERPROFILE%\.continue\,varies-by-provider,no,30,100,~/.continue/config.yaml (apiKey fields);~/.continue/.env,low,.continuerules,yes (every call),n/a
openclaw,daemon+cli,node,openclaw gateway|openclaw.*gateway,18789,~/.openclaw/,~/.openclaw/,%USERPROFILE%\.openclaw\,api.anthropic.com;api.openai.com;web.whatsapp.com;api.telegram.org;discord.com,yes,100,300,~/.openclaw/.env;~/.openclaw/credentials/;~/.openclaw/openclaw.json,low,~/.openclaw/workspace/AGENTS.md,yes (every call),~/.openclaw/openclaw.json
opencode,cli-tui-desktop,node,^opencode$,4096,~/.config/opencode/,~/.config/opencode/,%USERPROFILE%\.config\opencode\,varies-by-provider,no,80,250,opencode.json (provider keys),low,AGENTS.md,yes (every call),opencode.json
aider,cli-agent,python,^aider$|aider.exe,none,~/.aider/,~/.aider/,%USERPROFILE%\.aider\,varies-by-provider,no,50,200,provider env vars,none,.aider.conf.yml,no,n/a
ollama,local-llm-server,go-binary,ollama|ollama serve,11434,~/.ollama/,~/.ollama/ or /usr/share/ollama/.ollama/,%USERPROFILE%\.ollama\,none (local),yes,50,2000-32000+,none (local only),none,n/a,n/a,n/a
lm-studio,local-llm-app,electron,LM Studio|lmstudio,1234,~/.lmstudio/,~/.lmstudio/,%USERPROFILE%\.lmstudio\,none (local),no,200,2000+,preset JSON (endpoint tokens),none,n/a,n/a,n/a
vllm,local-llm-server,python,vllm|vllm.entrypoints,8000,n/a (uses HF cache),n/a (uses HF cache),n/a (uses HF cache),none (local),no,100,4000-80000+,none,none,n/a,n/a,n/a
text-gen-webui,local-llm-server,python,server.py|text-generation,7860,./user_data/,./user_data/,.\user_data\,none (local),no,100,2000+,none,none,n/a,n/a,n/a
huggingface-hub,library-cache,python,n/a (in-process),none,~/.cache/huggingface/,~/.cache/huggingface/,%USERPROFILE%\.cache\huggingface\,huggingface.co;api-inference.huggingface.co,no,0,varies,~/.cache/huggingface/token (plaintext),none,n/a,n/a,n/a
langchain-langserve,framework,python,uvicorn|langserve,8000,app-defined,app-defined,app-defined,varies-by-provider,no,50,200,chat_histories/*.json (verbatim prompts),none,n/a,n/a,n/a
llamaindex,framework,python,n/a (in-process),none,./storage/,./storage/,.\storage\,varies-by-provider,no,0,varies,./storage/ (embeddings),none,n/a,n/a,n/a
copilot365,m365-agent-platform,node,teamsfx|ttk-|teamsappdevtunnel|teams-toolkit,none,{project}/appPackage/,{project}/appPackage/,{project}\appPackage\,graph.microsoft.com;login.microsoftonline.com,no,50,200,env/.env.dev;env/.env.local (client secrets;connection strings),none,appPackage/declarativeAgent.json,yes (instructions field up to 8000 chars),n/a
